"V1","V2"
"0.250","29075-1950-DA"
"5.614","15677-1980-TZ5"
"7.572","10281-1981-EE45"
NA,"10472-1981-EO20"
NA,"13002-1982-BJ13"
"9.70","7517-1989-AD"
"4.341","5776-1989-UT2"
"2.891","8359-1989-WD"
NA,"22298-1990-EJ"
"94.13","16468-1990-HW1"
"0.267","6192-1990-KB1"
NA,"32799-1990-QN1"
"0.320","5587-1990-SB"
"7.349","13952-1990-SN6"
"0.473","5647-1990-TZ"
NA,"11052-1990-WM"
"68.70","10772-1990-YM"
"6.517","11058-1991-PN10"
NA,"13535-1991-RS13"
"10.64","6159-1991-YH"
"6.819","6406-1992-MJ"
"7.319","10115-1992-SK"
"2.573","6053-1993-BW3"
"13.84","10826-1993-SK16"
"9.81","29308-1993-UF1"
"5.924","7660-1993-VM1"
"31.83","7783-1994-JD"
NA,"14031-1994-WF2"
NA,"35218-1994-WU2"
"10.22","7964-1995-DD2"
NA,"14044-1995-VS1"
NA,"11995-1995-YB1"
"6.512","18487-1996-AU3"
"8.757","8567-1996-HW1-"
"5.103","31060-1996-TB6"
"0.058","16786-1997-AT1"
NA,"9440-1997-FZ1"
NA,"85489-1997-SV2"
NA,"79436-1997-TD6"
NA,"23707-1997-TZ7"
"4.768","85532-1997-WD21"
"6.184","48842-1998-BA44"
"6.345","33116-1998-BO12"
NA,"11700-1998-FT115"
"15.24","91063-1998-FX62"
NA,"52723-1998-GP2"
NA,"96461-1998-HS36"
"5.260","16955-1998-KU48"
"14.28","52760-1998-ML14"
"4.475","40104-1998-QE4"
NA,"74155-1998-QK93"
NA,"12551-1998-QQ39"
"12.83","26241-1998-QY40"
NA,"66076-1998-RD53"
"13.86","23873-1998-RL76"
NA,"52820-1998-RS2"
NA,"13338-1998-SK119"
"3.990","47035-1998-WS"
"3.697","33342-1998-WT24"
"4.168","31383-1998-XJ94"
"10.70","14197-1998-XK72"
"3.630","29777-1999-CK46"
"6.001","31485-1999-CM51"
"16.70","16009-1999-CM8"
NA,"27225-1999-GB17"
NA,"17111-1999-JH52"
NA,"35928-1999-JV107"
